match_id,date,league,season,team_id,opp_id,is_home,player_id,player,position,pos_slot,is_gk,started,yellow,red,minutes,rating,goals,assists,xg,xa,xg_np,shots,sot,shots_off,chances_created,touches,touches_box,dribbles,passes_acc,passes_f3,tackles,interceptions,blocks,clearances,recoveries,dribbled_past,ground_duels_won,aerials_won,duels_won,duels_lost,fouled,fouls,saves,goals_conceded,xgot_faced,saves_box,high_claims,punches,sweeper
5749644,2026-08-22,ita,2026/2027,9875,10233,0,169200,Kevin De Bruyne,MF,,0,0,0,0,23,8.47,1,1,0.27,0.08,0.27,1,1,0,2,33,2,,19,1,2,0,0,0,3,1,2,0,2,1,,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,215242,Leonardo Spinazzola,MF,38,0,1,0,0,90,6.82,0,0,0.07,0.16,0.07,2,1,0,1,72,2,,52,4,0,1,0,0,1,1,0,0,,3,,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,308517,Stanislav Lobotka,MF,75,0,1,0,0,90,7.66,0,0,0.14,0.25,0.14,2,0,1,1,83,0,,73,13,2,0,0,0,7,3,3,0,3,3,1,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,414906,Giovanni Di Lorenzo,DF,32,0,1,0,0,90,7.66,0,0,,0.14,,,,,0,79,3,,48,2,3,0,1,2,2,1,3,2,5,1,1,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,415539,Matteo Politano,MF,103,0,1,1,0,67,6.34,0,0,,0.05,,,,,0,38,1,,18,1,2,0,0,0,1,1,3,0,3,5,1,1,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,544693,Amir Rrahmani,DF,34,0,1,0,0,90,8.45,0,0,0.02,0.03,0.02,2,0,1,0,104,0,,69,13,5,1,0,11,2,0,5,8,13,1,,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,9875,10233,0,577912,Alex Meret,GK,11,1,1,0,0,90,7.07,,,,,,,,,,46,,,33,,0,0,,1,8,,,1,1,,1,0,2,0,0.02,0,0,1,0
5749644,2026-08-22,ita,2026/2027,9875,10233,0,612863,Frank Anguissa,MF,73,0,1,0,0,67,7.12,0,0,,0.06,,,,,1,38,2,0,27,2,2,0,1,0,6,0,3,0,3,4,1,2,,,,,,,
5749644,2026-08-22,ita,2026/2027,10233,9875,1,707970,Djibril Sow,MF,,0,0,0,0,15,5.92,0,0,0.05,0.11,0.05,1,0,1,0,10,1,0,6,2,0,0,0,0,0,0,0,0,,1,,0,,,,,,,
5749644,2026-08-22,ita,2026/2027,10233,9875,1,721533,Justin Bijlow,GK,11,1,1,0,0,90,5.55,,,,,,,,,,51,,,31,7,0,0,,1,5,,,,,,,0,2,2,0.93,0,1,1,0
